Data Table for Daily Case Trends - The United States
Date generated: Thu Dec 02 2021 14:36:44 GMT-0800 (Pacific Standard Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Dec  1 2021,129818,86412,0
United States,Nov 30 2021,120108,82891,165
United States,Nov 29 2021,102791,80263,171
United States,Nov 28 2021,52224,87710,92
United States,Nov 27 2021,48480,85057,51
United States,Nov 26 2021,83291,83613,19
United States,Nov 25 2021,68178,87939,76
United States,Nov 24 2021,105168,94393,245
United States,Nov 23 2021,101709,94534,249
United States,Nov 22 2021,154920,93822,50
United States,Nov 21 2021,33657,92229,490
United States,Nov 20 2021,38373,91509,81
United States,Nov 19 2021,113569,92805,100
United States,Nov 18 2021,113357,94170,10684
United States,Nov 17 2021,106155,88204,55
United States,Nov 16 2021,96727,85956,59
United States,Nov 15 2021,143770,84000,9
United States,Nov 14 2021,28612,81776,61
United States,Nov 13 2021,47448,81398,15371
United States,Nov 12 2021,123126,78689,145
United States,Nov 11 2021,71590,73889,590
United States,Nov 10 2021,90423,76242,1792
United States,Nov  9 2021,83031,74742,177
United States,Nov  8 2021,128208,73320,49
United States,Nov  7 2021,25963,72184,66
United States,Nov  6 2021,28482,71410,528
United States,Nov  5 2021,89530,71443,186
United States,Nov  4 2021,88063,71089,219
United States,Nov  3 2021,79923,70217,108
United States,Nov  2 2021,73072,70783,685
United States,Nov  1 2021,120256,74976,7959
United States,Oct 31 2021,20545,71311,64
United States,Oct 30 2021,28712,71748,569
United States,Oct 29 2021,87053,71877,137
United States,Oct 28 2021,81959,70955,21885
United States,Oct 27 2021,83889,71715,457
United States,Oct 26 2021,102420,70643,262
United States,Oct 25 2021,94603,67585,47
United States,Oct 24 2021,23600,64154,94
United States,Oct 23 2021,29620,67822,451
United States,Oct 22 2021,80598,72470,316
United States,Oct 21 2021,87280,73948,377
United States,Oct 20 2021,76385,75281,532
United States,Oct 19 2021,81013,78224,520
United States,Oct 18 2021,70586,79662,23
United States,Oct 17 2021,49272,80320,76
United States,Oct 16 2021,62160,81778,825
United States,Oct 15 2021,90943,82900,806
United States,Oct 14 2021,96612,85302,498
United States,Oct 13 2021,96985,87499,732
United States,Oct 12 2021,91081,89039,649
United States,Oct 11 2021,75191,91006,84
United States,Oct 10 2021,59479,92771,161
United States,Oct  9 2021,70015,94044,648
United States,Oct  8 2021,107752,95659,544
United States,Oct  7 2021,111993,97422,793
United States,Oct  6 2021,107762,98923,10536
United States,Oct  5 2021,104853,100150,238
United States,Oct  4 2021,87545,101890,29
United States,Oct  3 2021,68388,104156,207
United States,Oct  2 2021,81325,105396,493
United States,Oct  1 2021,120088,107436,1428
United States,Sep 30 2021,122501,109289,1427
United States,Sep 29 2021,116354,111153,1354
United States,Sep 28 2021,117034,113441,1069
United States,Sep 27 2021,103404,116009,613
United States,Sep 26 2021,77067,114622,239
United States,Sep 25 2021,95609,117478,646
United States,Sep 24 2021,133059,121400,781
United States,Sep 23 2021,135546,124899,1466
United States,Sep 22 2021,132374,129436,445
United States,Sep 21 2021,135005,133823,624
United States,Sep 20 2021,93698,137700,33
United States,Sep 19 2021,97060,140568,87
United States,Sep 18 2021,123058,143314,575
United States,Sep 17 2021,157554,147614,531
United States,Sep 16 2021,167307,149302,540
United States,Sep 15 2021,163081,152082,916
United States,Sep 14 2021,162147,153070,660
United States,Sep 13 2021,113769,146824,164
United States,Sep 12 2021,116283,146330,79
United States,Sep 11 2021,153160,147527,527
United States,Sep 10 2021,169369,145961,349
United States,Sep  9 2021,186769,147895,404
United States,Sep  8 2021,169999,147253,1347
United States,Sep  7 2021,118424,151377,90
United States,Sep  6 2021,110307,159743,404
United States,Sep  5 2021,124666,163222,277
United States,Sep  4 2021,142194,162309,417
United States,Sep  3 2021,182908,163602,388
United States,Sep  2 2021,182275,163595,401
United States,Sep  1 2021,198869,164292,323
