Data Table for Daily Death Trends - The United States
Date generated: Thu Dec 02 2021 14:44:28 GMT-0800 (Pacific Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Dec  1 2021,1546,859,160
United States,Nov 30 2021,1588,812,12
United States,Nov 29 2021,1630,799,58
United States,Nov 28 2021,131,724,0
United States,Nov 27 2021,153,726,0
United States,Nov 26 2021,555,751,0
United States,Nov 25 2021,416,892,0
United States,Nov 24 2021,1216,983,147
United States,Nov 23 2021,1496,986,9
United States,Nov 22 2021,1104,976,42
United States,Nov 21 2021,143,966,0
United States,Nov 20 2021,331,973,0
United States,Nov 19 2021,1544,998,71
United States,Nov 18 2021,1050,1019,2783
United States,Nov 17 2021,1236,1004,178
United States,Nov 16 2021,1428,1004,0
United States,Nov 15 2021,1030,1025,39
United States,Nov 14 2021,198,1042,0
United States,Nov 13 2021,504,1047,0
United States,Nov 12 2021,1690,1039,43
United States,Nov 11 2021,945,1020,11
United States,Nov 10 2021,1234,1056,88
United States,Nov  9 2021,1579,1085,0
United States,Nov  8 2021,1150,1061,24
United States,Nov  7 2021,232,1059,0
United States,Nov  6 2021,447,1067,0
United States,Nov  5 2021,1556,1062,55
United States,Nov  4 2021,1194,1087,0
United States,Nov  3 2021,1442,1095,-247
United States,Nov  2 2021,1408,1131,17
United States,Nov  1 2021,1139,1215,47
United States,Oct 31 2021,287,1196,0
United States,Oct 30 2021,414,1202,0
United States,Oct 29 2021,1726,1235,71
United States,Oct 28 2021,1249,1254,1
United States,Oct 27 2021,1698,1293,66
United States,Oct 26 2021,1995,1299,25
United States,Oct 25 2021,1003,1276,56
United States,Oct 24 2021,329,1313,0
United States,Oct 23 2021,648,1362,0
United States,Oct 22 2021,1860,1399,77
United States,Oct 21 2021,1519,1417,0
United States,Oct 20 2021,1739,1420,78
United States,Oct 19 2021,1834,1424,1
United States,Oct 18 2021,1262,1438,1013
United States,Oct 17 2021,676,1388,13
United States,Oct 16 2021,904,1395,0
United States,Oct 15 2021,1987,1413,58
United States,Oct 14 2021,1539,1445,7
United States,Oct 13 2021,1770,1470,59
United States,Oct 12 2021,1931,1499,10
United States,Oct 11 2021,909,1514,47
United States,Oct 10 2021,727,1562,298
United States,Oct  9 2021,1033,1590,0
United States,Oct  8 2021,2209,1628,40
United States,Oct  7 2021,1712,1617,16
United States,Oct  6 2021,1976,1646,51
United States,Oct  5 2021,2037,1677,0
United States,Oct  4 2021,1243,1689,69
United States,Oct  3 2021,925,1722,24
United States,Oct  2 2021,1298,1732,0
United States,Oct  1 2021,2130,1750,42
United States,Sep 30 2021,1918,1786,34
United States,Sep 29 2021,2194,1803,50
United States,Sep 28 2021,2118,1815,22
United States,Sep 27 2021,1475,1843,447
United States,Sep 26 2021,993,1819,27
United States,Sep 25 2021,1426,1842,0
United States,Sep 24 2021,2382,1864,61
United States,Sep 23 2021,2039,1847,24
United States,Sep 22 2021,2274,1851,70
United States,Sep 21 2021,2317,1867,9
United States,Sep 20 2021,1305,1879,52
United States,Sep 19 2021,1154,1878,33
United States,Sep 18 2021,1578,1875,0
United States,Sep 17 2021,2266,1897,37
United States,Sep 16 2021,2064,1892,25
United States,Sep 15 2021,2388,1917,108
United States,Sep 14 2021,2403,1869,5
United States,Sep 13 2021,1299,1735,53
United States,Sep 12 2021,1132,1701,19
United States,Sep 11 2021,1732,1718,0
United States,Sep 10 2021,2232,1683,49
United States,Sep  9 2021,2239,1637,6
United States,Sep  8 2021,2050,1602,58
United States,Sep  7 2021,1464,1593,87
United States,Sep  6 2021,1063,1634,15
United States,Sep  5 2021,1247,1655,49
United States,Sep  4 2021,1486,1641,0
United States,Sep  3 2021,1914,1635,28
United States,Sep  2 2021,1996,1618,16
United States,Sep  1 2021,1983,1583,36
United States,Aug 31 2021,1755,1534,50
United States,Aug 30 2021,1205,1518,35
United States,Aug 29 2021,1148,1506,33
United States,Aug 28 2021,1446,1468,0
United States,Aug 27 2021,1799,1426,42
United States,Aug 26 2021,1749,1391,31
United States,Aug 25 2021,1641,1335,17
United States,Aug 24 2021,1639,1312,4
United States,Aug 23 2021,1126,1249,77
United States,Aug 22 2021,876,1207,13
United States,Aug 21 2021,1156,1177,0
